File ID,Script Content,Defect Label,Dataset Name
1,class logstash     heap_memory_mb     filter_workers       require_package   openjdk  jre headless    package   logstash    ensure     present   require     package   openjdk  jre headless        file    etc default logstash    content     template   logstash default erb      require     package   logstash      notify     service   logstash        file    etc logstash conf     ensure     directory   recurse     true   purge     true   force     true   source     puppet   require     package   logstash        service   logstash    ensure     running   provider     debian    enable     true   hasstatus     true   hasrestart     true   require     package   logstash        file    etc init logstash conf    ensure     absent   require     package   logstash        file    etc init logstash web conf    ensure     absent   require     package   logstash        exec   install logstash contrib plugins    command      opt logstash bin plugin install contrib    unless      usr bin test    opt logstash vendor logstash     require     package   logstash      notify     service   logstash         ,0,3
2,class cluster    haproxy    rsyslog     log_file    var log haproxy log        include    rsyslog    params file    etc rsyslog  haproxy conf    ensure     present   content     template          module_name    haproxy conf erb      notify     service        rsyslog    params    service_name         defined   service        rsyslog    params    service_name       service        rsyslog    params    service_name   ensure     running    enable     true        ,1,2
3,class keystone    logging     use_syslog        os_service_default     use_stderr        os_service_default     log_facility        os_service_default     log_dir    var log keystone      log_file        os_service_default     debug        os_service_default     logging_context_format_string        os_service_default     logging_default_format_string        os_service_default     logging_debug_format_suffix        os_service_default     logging_exception_prefix        os_service_default     logging_user_identity_format        os_service_default     log_config_append        os_service_default     default_log_levels        os_service_default     publish_errors        os_service_default     fatal_deprecations        os_service_default     instance_format        os_service_default     instance_uuid_format        os_service_default     log_date_format        os_service_default     watch_log_file        os_service_default     verbose   undef       include    keystone    deps   verbose   warning   verbose deprecated   effect removed newton cycle          use_syslog_real   pick        keystone    use_syslog     use_syslog     use_stderr_real   pick        keystone    use_stderr     use_stderr     log_facility_real   pick        keystone    log_facility     log_facility     log_dir_real   pick        keystone    log_dir     log_dir     log_file_real   pick        keystone    log_file     log_file     debug_real   pick        keystone    debug     debug   oslo    log   keystone_config    debug       debug_real   log_config_append       log_config_append   log_date_format       log_date_format   log_file       log_file_real   log_dir       log_dir_real   watch_log_file       watch_log_file   use_syslog       use_syslog_real   syslog_log_facility       log_facility_real   use_stderr       use_stderr_real   logging_context_format_string       logging_context_format_string   logging_default_format_string       logging_default_format_string   logging_debug_format_suffix       logging_debug_format_suffix   logging_exception_prefix       logging_exception_prefix   logging_user_identity_format       logging_user_identity_format   default_log_levels       default_log_levels   publish_errors       publish_errors   instance_format       instance_format   instance_uuid_format       instance_uuid_format   fatal_deprecations       fatal_deprecations      ,0,2
4,class ssh    config   include users    root include ssh    settings include ssh    service case      operatingsystem   centos       sftp_line      subsystem sftp  usr libexec openssh sftp server      case      operatingsystem   windows     include packages    kts   publickey_logon_ini          program files kts publickey_logon ini    rsakey_ky          program files kts rsakey     kts_ini          program files kts kts ini  file     ssh    settings    genkey_dir   ensure     directory     file          program files kts kts ini    content     template          module_name    kts ini erb      show_diff     false   notify     service   kts        exec      rsakey    command           program files kts daemon exe   rsakey    require     class      packages    kts      notify     service   kts      creates       rsakey_ky     file          program files kts scripts allusers bat    source        puppet   replace     true   require     class      packages    kts        file             ssh    settings    genkey_dir    genkeys     source        puppet   require     class   packages    kts        exec   generate kts publickey logon ini    command                  ruby_interpreter      genkeys        publickey_logon ini    cwd       ssh    settings    genkey_dir   require     file             ssh    settings    genkey_dir    genkeys       refreshonly     true   logoutput     true     acl       publickey_logon_ini     ssh    settings    genkey_dir     rsakey_ky     kts_ini     purge     true   inherit_parent_permissions     false   require       exec   generate kts publickey logon ini      file     ssh    settings    genkey_dir     exec      rsakey      file     kts_ini         permissions         identity     root    rights       full          identity     system    rights       full                default     file     ssh    settings    ssh_config   owner       users    root    username   group       users    root    group   mode     0644   content     template          module_name    ssh_config erb        ssh    settings    sshd_config   owner          users    root    username   group          users    root    group   mode     0644   notify     class   ssh    service      content     template          module_name    sshd_config erb        ssh    settings    known_hosts   owner          users    root    username   group          users    root    group   mode     0644   content     template          module_name    known_hosts erb             ,1,1
5,define midonet    resources    network_creation     api_endpoint   http     keystone_username   midogod      keystone_password   testmido      tenant_name   admin      controller_ip   127         controller_neutron_port   9696      network_external   ext net      allocation_pools     start 172   100   end 172   200        gateway_ip   172         subnet_cidr   172          subnet_name   ext subnet      edge_router_name   edge router      edge_network_name   net edge1 gw1      edge_subnet_name   subnet edge1 gw1      edge_cidr   172          port_name   testport      port_fixed_ip   172   102      port_interface_name   eth1      binding_host_id   undef     include stdlib        osfamily    debian       operatingsystemmajrelease           package   biosdevname    ensure     latest        neutron_router     edge_router_name              osfamily    redhat      package   biosdevname    ensure     latest        neutron_router     edge_router_name       neutron_network     network_external   ensure     present   router_external     true   shared     false         neutron_subnet     subnet_name   ensure     present   allocation_pools       allocation_pools   enable_dhcp     false   gateway_ip       gateway_ip   cidr       subnet_cidr   network_name       network_external         neutron_router     edge_router_name   ensure     present         neutron_router_interface          edge_router_name         subnet_name      ensure     present         neutron_network     edge_network_name   ensure     present   tenant_id       tenant_name   provider_network_type     uplink          neutron_subnet     edge_subnet_name   ensure     present   enable_dhcp     false   cidr       edge_cidr   tenant_id       tenant_name   network_name       edge_network_name         neutron_port     port_name   ensure     present   network_name       edge_network_name   binding_host_id     pick     binding_host_id        hostname     binding_profile       interface_name      c7_int_name     port_interface_name       ip_address           port_fixed_ip             neutron_router_interface          edge_router_name     null    ensure     present   port       port_name      ,1,2
6,class timezone   include users    root case      operatingsystem   centos     include packages    tzdata file       etc localtime    mode     644   owner     root   group       users    root    group   content     file       usr share zoneinfo  pacific      force     true   require     class   packages    tzdata      notify     exec    usr sbin tzdata update          etc sysconfig clock    mode     644   owner     root   group       users    root    group   content     zone    pacific     force     true   require     class   packages    tzdata      notify     exec    usr sbin tzdata update        exec       usr sbin tzdata update    refreshonly     true       ubuntu     include packages    tzdata file       etc timezone    mode     644   owner     root   group       users    root    group   content        america los_angeles     force     true   require     class   packages    tzdata        exec      dpkg reconfigure tzdata    command         usr sbin dpkg reconfigure   noninteractive tzdata    subscribe     file       etc timezone      refreshonly     true       darwin     osxutils    systemsetup   timezone   setting        america los_angeles        windows          ,1,1
7,class murano    cfapi     tenant     manage_service   true     enabled   true     package_ensure   present      bind_host        os_service_default     bind_port        os_service_default     auth_url   http       include    murano    params include    murano    policy murano_cfapi_config            service   murano cfapi    class   murano    policy        service   murano cfapi      manage_service     enabled     service_ensure   running   else     service_ensure   stopped     murano_cfapi_config   cfapi tenant    value       tenant   cfapi bind_host    value       bind_host   cfapi bind_port    value       bind_port   cfapi auth_url    value       auth_url     package   murano cfapi    ensure       package_ensure   name          murano    params    cfapi_package_name   tag       openstack    murano package        service   murano cfapi    ensure       service_ensure   name          murano    params    cfapi_service_name   enable       enabled   require     package   murano cfapi      tag     murano service      package   murano cfapi        service   murano cfapi    murano_cfapi_paste_ini_config            service   murano cfapi     ,1,2
8,node   2008       winbuild releng scl3 mozilla com      slave_trustlevel   try include toplevel    slave    releng   node    relabs puppet2 relabs releng scl3 mozilla com      node_security_level   high include toplevel    server    puppetmaster   node    hp1 relabs releng scl3 mozilla com    include toplevel    base   node    hp2 relabs releng scl3 mozilla com    include toplevel    base   node    hp3 relabs releng scl3 mozilla com    include toplevel    base   node    hp4 relabs releng scl3 mozilla com    include toplevel    server   node    hp5 relabs releng scl3 mozilla com    include toplevel    base   node    hp6 relabs releng scl3 mozilla com    include toplevel    base   node    hp7 relabs releng scl3 mozilla com    include toplevel    base   node       relabs releng scl3 mozilla com    include toplevel    base   node       relabs releng scl3 mozilla com    include toplevel    base   node       relabs releng scl3 mozilla com    include toplevel    base   node       relabs releng scl3 mozilla com    include toplevel    base   node       relabs releng scl3 mozilla com    include toplevel    base   node       relabs releng scl3 mozilla com    include toplevel    base   node    ix1204  relabs releng scl3 mozilla com    include toplevel    base   node    ix1204  relabs releng scl3 mozilla com    include toplevel    base   node    ix1204  relabs releng scl3 mozilla com    include toplevel    base   node    ix1204  relabs releng scl3 mozilla com    include toplevel    base   node    ix1204  relabs releng scl3 mozilla com    include toplevel    base   node    ix1204  relabs releng scl3 mozilla com    include toplevel    base   node    ix1204  relabs releng scl3 mozilla com    include toplevel    base   node    ix1204  relabs releng scl3 mozilla com    include toplevel    base   node    ix1204  relabs releng scl3 mozilla com    include toplevel    base   node    dividehex test relabs releng scl3 mozilla com    include toplevel    server  ,0,1
9,class selfserve_agent    install   include    config include dirs    builds include users    builder include packages    mozilla    python27 include packages    gcc include packages    make include packages    mysql_devel include selfserve_agent    settings python    virtualenv          selfserve_agent    settings    root      python            packages    mozilla    python27    python      require     class   packages    mozilla    python27      user            users    builder    username      group            users    builder    group      packages          anyjson           beaker           formencode           mako           markupsafe          mysql python           paste            pastedeploy           pastescript           pygments          pylons          amqp           buildapi           buildbot     pre moz1       decorator           distribute           kombu           routes           sqlalchemy           tempita           twisted           weberror           webhelpers          webob           webtest           meld3           nose           pytz  2011d       redis           simplejson           wsgiref           zope interface               ,0,1
10,class cinder    volume    netapp     netapp_login     netapp_password     netapp_server_hostname     netapp_server_port         netapp_size_multiplier           netapp_storage_family   ontap_cluster      netapp_storage_protocol   nfs      netapp_transport_type   http      netapp_vfiler   undef     netapp_volume_list   undef     netapp_vserver   undef     netapp_partner_backend_name   undef     expiry_thres_minutes   720      thres_avl_size_perc_start         thres_avl_size_perc_stop         nfs_shares   undef     nfs_shares_config    etc cinder shares conf      netapp_copyoffload_tool_path   undef     netapp_controller_ips   undef     netapp_sa_password   undef     netapp_storage_pools   undef     netapp_host_type        os_service_default     netapp_webservice_path    devmgr       nfs_mount_options   undef     extra_options           netapp_eseries_host_type   undef         netapp_eseries_host_type   warning   the    netapp_eseries_host_type  parameter deprecated   use    netapp_host_type  instead        netapp_host_type_real     netapp_eseries_host_type   else     netapp_host_type_real     netapp_host_type   warning   usage cinder    volume    netapp deprecated   please use cinder    backend    netapp instead      cinder    backend    netapp   default    netapp_login       netapp_login   netapp_password       netapp_password   netapp_server_hostname       netapp_server_hostname   netapp_server_port       netapp_server_port   netapp_size_multiplier       netapp_size_multiplier   netapp_storage_family       netapp_storage_family   netapp_storage_protocol       netapp_storage_protocol   netapp_transport_type       netapp_transport_type   netapp_vfiler       netapp_vfiler   netapp_volume_list       netapp_volume_list   netapp_vserver       netapp_vserver   netapp_partner_backend_name       netapp_partner_backend_name   expiry_thres_minutes       expiry_thres_minutes   thres_avl_size_perc_start       thres_avl_size_perc_start   thres_avl_size_perc_stop       thres_avl_size_perc_stop   nfs_shares       nfs_shares   nfs_shares_config       nfs_shares_config   netapp_copyoffload_tool_path       netapp_copyoffload_tool_path   netapp_controller_ips       netapp_controller_ips   netapp_sa_password       netapp_sa_password   netapp_storage_pools       netapp_storage_pools   netapp_host_type       netapp_host_type_real   netapp_webservice_path       netapp_webservice_path   nfs_mount_options       nfs_mount_options   extra_options       extra_options      ,1,2
